# Birds observed on Calvert Ct.
# Format:  Common Name | scientific-stem
# The scientific-stem is the filename (without .png) in illustrations/.
# Lines may be in any order; the collage sorts birds alphabetically by name.
# Add a new line to include a bird, then run:  python3 build_collage.py
# See AGENTS.md for the full "add a bird" procedure.

American Crow | corvus-brachyrhynchos
American Robin | turdus-migratorius
Anna's Hummingbird | calypte-anna
Band-tailed Pigeon | patagioenas-fasciata
Bewick's Wren | thryomanes-bewickii
Blue-gray Gnatcatcher | polioptila-caerulea
Bushtit | psaltriparus-minimus
California Scrub-Jay | aphelocoma-californica
California Towhee | melozone-crissalis
Canada Goose | branta-canadensis
Chestnut-backed Chickadee | poecile-rufescens
Cooper's Hawk | accipiter-cooperii
Dark-eyed Junco | junco-hyemalis
Great Horned Owl | bubo-virginianus
House Finch | haemorhous-mexicanus
Lesser Goldfinch | spinus-psaltria
Mourning Dove | zenaida-macroura
Northern Mockingbird | mimus-polyglottos
Nuttall's Woodpecker | dryobates-nuttallii
Oak Titmouse | baeolophus-inornatus
Red-breasted Nuthatch | sitta-canadensis
Red-shouldered Hawk | buteo-lineatus
Red-tailed Hawk | buteo-jamaicensis
Song Sparrow | melospiza-melodia
Spotted Towhee | pipilo-maculatus
Steller's Jay | cyanocitta-stelleri
Turkey Vulture | cathartes-aura
Western Flycatcher | empidonax-difficilis
Wild Turkey | meleagris-gallopavo
Yellow-rumped Warbler | setophaga-coronata
