stem,common,scientific,family,ca_status,confidence,note
acanthis-flammea,Redpoll,Acanthis flammea,finches (Fringillidae),rare/irregular winter visitor,high,"CORRECTED common name. The 2024 Clements/eBird/AOS update lumped Common, Hoary, and Lesser Redpoll into one species whose accepted English name is simply 'Redpoll' (Acanthis flammea), with the former species now subspecies groups: Redpoll (Common), Redpoll (Hoary), Redpoll (Lesser). The entry's own note describes the lump but it had retained the outdated name 'Common Redpoll', so the common name was wrong."
accipiter-cooperii,Cooper's Hawk,Accipiter cooperii,"hawks, eagles, and kites (Accipitridae)",common resident,high,"Verified correct. (Note: some authorities place this species in Astur as Astur cooperii following the Accipiter generic revision, but the provided scientific name and the English name 'Cooper's Hawk' are accepted.)"
accipiter-gentilis,Eurasian Goshawk,Accipiter gentilis,"hawks, eagles, and kites (Accipitridae)",rare/uncommon resident in montane forests,high,"Common name verified correct. The 2023 AOS (63rd/64th supplement) split Northern Goshawk into American Goshawk (Astur atricapillus, the New World bird) and Eurasian Goshawk (gentilis). California birds are American Goshawk; true gentilis is not expected in CA except as a vagrant, so 'uncommon resident in montane forests' actually describes the American Goshawk, not this taxon. Also note the genus was moved from Accipiter to Astur (Astur gentilis) in current taxonomy, though the English name is unchanged."
accipiter-striatus,Sharp-shinned Hawk,Accipiter striatus,"hawks, eagles, and kites (Accipitridae)",common winter visitor,high,Verified correct.
actitis-macularius,Spotted Sandpiper,Actitis macularius,sandpipers (Scolopacidae),common migrant and winter visitor; local breeder,high,Verified correct.
aechmophorus-occidentalis,Western Grebe,Aechmophorus occidentalis,grebes (Podicipedidae),common resident on lakes and coastal waters,high,Verified correct.
aegolius-acadicus,Northern Saw-whet Owl,Aegolius acadicus,owls (Strigidae),uncommon resident in forested areas,high,Verified correct.
aeronautes-saxatalis,White-throated Swift,Aeronautes saxatalis,swifts (Apodidae),common breeder and resident around cliffs,high,Verified correct.
agelaius-phoeniceus,Red-winged Blackbird,Agelaius phoeniceus,New World blackbirds (Icteridae),common resident,high,Verified correct.
aix-sponsa,Wood Duck,Aix sponsa,"ducks, geese, and waterfowl (Anatidae)",uncommon to common resident on wooded ponds,high,Verified correct.
ammodramus-savannarum,Grasshopper Sparrow,Ammodramus savannarum,New World sparrows (Passerellidae),"uncommon, local summer breeder in grasslands",high,Verified correct. Grasshopper Sparrow remains in Ammodramus after the Ammodramus/Ammospiza generic split (the Ammospiza marsh sparrows were moved out; savannarum stayed).
amphispiza-bilineata,Black-throated Sparrow,Amphispiza bilineata,New World sparrows (Passerellidae),"locally common resident in desert scrub (e.g., Mojave/Sonoran)",high,Verified correct.
anas-crecca,Green-winged Teal,Anas crecca,"ducks, geese, and waterfowl (Anatidae)",common winter visitor,high,Verified correct. Eurasian 'Common Teal' (crecca crecca) is treated as a subspecies group within Anas crecca by AOS/Clements; the species English name is Green-winged Teal.
anas-platyrhynchos,Mallard,Anas platyrhynchos,"ducks, geese, and waterfowl (Anatidae)",common resident,high,Verified correct.
anser-albifrons,Greater White-fronted Goose,Anser albifrons,"ducks, geese, and waterfowl (Anatidae)",common winter visitor (esp. Central Valley),high,Verified correct.
anthus-rubescens,American Pipit,Anthus rubescens,wagtails and pipits (Motacillidae),common winter visitor in open fields,high,Verified correct.
aphelocoma-californica,California Scrub-Jay,Aphelocoma californica,"crows, jays, and magpies (Corvidae)",common resident,high,Split from Western Scrub-Jay in 2016; the coastal/western form. Correct per Clements/eBird 2024.
aphelocoma-woodhouseii,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,"crows, jays, and magpies (Corvidae)",uncommon resident (interior/eastern CA),high,"Note: standard binomial spelling is Aphelocoma woodhouseii with double-i, as given. Common name correct. Interior counterpart split from Western Scrub-Jay in 2016."
aquila-chrysaetos,Golden Eagle,Aquila chrysaetos,"hawks, eagles, and kites (Accipitridae)",uncommon resident,high,Correct.
archilochus-alexandri,Black-chinned Hummingbird,Archilochus alexandri,hummingbirds (Trochilidae),common summer breeder,high,Correct.
ardea-alba,Great Egret,Ardea alba,"herons, egrets, and bitterns (Ardeidae)",common resident,high,Correct.
ardea-herodias,Great Blue Heron,Ardea herodias,"herons, egrets, and bitterns (Ardeidae)",common resident,high,Correct.
artemisiospiza-belli,Bell's Sparrow,Artemisiospiza belli,New World sparrows (Passerellidae),uncommon resident (chaparral/scrub),high,"Split from Sage Sparrow in 2013; A. belli is Bell's Sparrow, A. nevadensis is Sagebrush Sparrow. Correct."
asio-flammeus,Short-eared Owl,Asio flammeus,owls (Strigidae),uncommon winter visitor,high,Correct.
asio-otus,Long-eared Owl,Asio otus,owls (Strigidae),uncommon resident/winter visitor,high,Correct.
athene-cunicularia,Burrowing Owl,Athene cunicularia,owls (Strigidae),"uncommon resident (local, declining)",high,Correct.
aythya-affinis,Lesser Scaup,Aythya affinis,"ducks, geese, and waterfowl (Anatidae)",common winter visitor,high,Correct.
aythya-americana,Redhead,Aythya americana,"ducks, geese, and waterfowl (Anatidae)",uncommon winter visitor; local breeder,high,Correct.
aythya-collaris,Ring-necked Duck,Aythya collaris,"ducks, geese, and waterfowl (Anatidae)",common winter visitor,high,Correct.
aythya-valisineria,Canvasback,Aythya valisineria,"ducks, geese, and waterfowl (Anatidae)",common winter visitor,high,Correct.
baeolophus-inornatus,Oak Titmouse,Baeolophus inornatus,"tits, chickadees, and titmice (Paridae)",common resident,high,Split from Plain Titmouse in 1996; interior counterpart is Juniper Titmouse (B. ridgwayi). Correct.
bombycilla-cedrorum,Cedar Waxwing,Bombycilla cedrorum,waxwings (Bombycillidae),common winter visitor,high,Correct.
bombycilla-garrulus,Bohemian Waxwing,Bombycilla garrulus,waxwings (Bombycillidae),rare/irruptive winter visitor,high,Verified: standard eBird/Clements 2024 name. Correct.
branta-canadensis,Canada Goose,Branta canadensis,"ducks, geese, and waterfowl (Anatidae)",common resident and winter visitor,high,"Verified. Not to be confused with the smaller Cackling Goose (Branta hutchinsii), which is a separate species. Correct as given."
bubo-virginianus,Great Horned Owl,Bubo virginianus,owls (Strigidae),common resident,high,Verified. Correct.
bubulcus-ibis,Western Cattle-Egret,Ardea ibis,"herons, egrets, and bitterns (Ardeidae)",locally common resident/visitor,high,"CORRECTED. The 2023-2024 AOS / eBird-Clements v2024 update split Cattle Egret into Western Cattle-Egret (Ardea ibis) and Eastern Cattle-Egret (Ardea coromanda), and transferred the genus from Bubulcus into Ardea. North American birds are Western Cattle-Egret (Ardea ibis). The original entry's name (Cattle Egret), binomial (Bubulcus ibis), and explanatory note were all outdated. Stem 'bubulcus-ibis' kept exactly as given per instructions, though it now references the retired genus."
bucephala-albeola,Bufflehead,Bucephala albeola,"ducks, geese, and waterfowl (Anatidae)",common winter visitor,high,Verified. Correct.
bucephala-clangula,Common Goldeneye,Bucephala clangula,"ducks, geese, and waterfowl (Anatidae)",common winter visitor,high,Verified. Distinct from Barrow's Goldeneye (B. islandica). Correct.
buteo-jamaicensis,Red-tailed Hawk,Buteo jamaicensis,"hawks, eagles, and kites (Accipitridae)",common resident,high,Verified. Correct.
buteo-lagopus,Rough-legged Hawk,Buteo lagopus,"hawks, eagles, and kites (Accipitridae)",uncommon winter visitor,high,Verified. Correct.
buteo-lineatus,Red-shouldered Hawk,Buteo lineatus,"hawks, eagles, and kites (Accipitridae)",common resident,high,Verified. Correct.
buteo-regalis,Ferruginous Hawk,Buteo regalis,"hawks, eagles, and kites (Accipitridae)",uncommon winter visitor,high,Verified. Correct.
buteo-swainsoni,Swainson's Hawk,Buteo swainsoni,"hawks, eagles, and kites (Accipitridae)",summer breeder/migrant,high,Verified. Correct.
butorides-virescens,Green Heron,Butorides virescens,"herons, egrets, and bitterns (Ardeidae)",common resident/summer breeder,high,Verified. Butorides virescens is the New World Green Heron; the Old World Striated Heron (B. striata) is a separate species under eBird/Clements. Correct.
calamospiza-melanocorys,Lark Bunting,Calamospiza melanocorys,New World sparrows (Passerellidae),rare/vagrant,high,"Verified. Despite the name 'bunting,' Calamospiza (monotypic) sits in Passerellidae (New World sparrows) under AOS/Clements, moved out of the old Emberizidae. Family as given is correct (it is NOT in Calcariidae)."
calidris-alba,Sanderling,Calidris alba,sandpipers and allies (Scolopacidae),common coastal migrant/winter visitor,high,Verified. Correct.
calidris-alpina,Dunlin,Calidris alpina,sandpipers and allies (Scolopacidae),common winter visitor (coastal/wetlands),high,Verified. Correct.
